1001
1001
0.00000 95690.64098
0.00086 95724.59180
0.00171 95873.94172
0.00257 95874.72257
0.00343 95918.58133
0.00429 95947.37824
0.00514 95968.26093
0.00600 95997.75060
0.00686 96019.78819
0.00771 96039.67586
0.00857 96061.52546
0.00943 96211.46018
0.01029 96243.84285
0.01114 96415.54705
0.01200 96566.55467
0.01286 96606.10708
0.01371 96624.39743
0.01457 96663.16501
0.01543 96687.08473
0.01628 96702.73646
0.01714 96746.27722
0.01800 96970.04641
0.01886 97266.92359
0.01971 97325.75610
0.02057 97493.46655
0.02143 97588.74769
0.02228 97775.59112
0.02314 97742.83634
0.02400 97804.15170
0.02486 97879.91088
0.02571 97972.33657
0.02657 98481.91942
0.02743 98576.20419
0.02828 98666.70200
0.02914 99110.06752
0.03000 99354.71163
0.03086 99433.28634
0.03171 99472.44215
0.03257 99434.71932
0.03343 99456.19635
0.03428 99627.33015
0.03514 100173.47519
0.03600 101088.88853
0.03686 101485.35543
0.03771 101521.24185
0.03857 101481.62513
0.03943 101507.71375
0.04028 101609.81833
0.04114 101907.21184
0.04200 102250.65263
0.04285 102373.63362
0.04371 102496.30207
0.04457 103210.02280
0.04543 103482.05616
0.04628 103867.74516
0.04714 104928.99531
0.04800 105071.30215
0.04885 105216.54810
0.04971 105363.05693
0.05057 105583.64876
0.05143 105727.88195
0.05228 106390.90770
0.05314 106696.13353
0.05400 107844.29403
0.05485 108106.09264
0.05571 108253.60757
0.05657 108608.44095
0.05743 108886.64788
0.05828 109237.26936
0.05914 109607.10410
0.06000 109764.50306
0.06085 111134.38501
0.06171 111244.69975
0.06257 111759.53582
0.06343 112131.24640
0.06428 112517.74870
0.06514 113085.49115
0.06600 113433.71708
0.06685 113596.72873
0.06771 114523.53455
0.06857 115007.98202
0.06943 115330.39991
0.07028 115782.89329
0.07114 115891.45590
0.07200 116402.51061
0.07285 117107.45912
0.07371 117458.24970
0.07457 117778.53301
0.07542 120396.89451
0.07628 121012.88449
0.07714 120927.92004
0.07800 120962.81500
0.07885 121365.99527
0.07971 121939.47359
0.08057 122299.89593
0.08142 122736.33980
0.08228 123151.55151
0.08314 123521.74140
0.08400 125544.79409
0.08485 126242.38152
0.08571 126415.04059
0.08657 126473.74173
0.08742 126572.63249
0.08828 127584.03422
0.08914 128052.65056
0.09000 128719.89774
0.09085 128868.50339
0.09171 129394.19382
0.09257 129873.19040
0.09342 130699.12534
0.09428 131060.31255
0.09514 131600.82472
0.09600 132237.04418
0.09685 133395.92557
0.09771 134426.79884
0.09857 134917.23032
0.09942 135097.40338
0.10028 135659.37720
0.10114 136070.00521
0.10199 136566.71148
0.10285 137053.89522
0.10371 137431.22256
0.10457 137925.58778
0.10542 138209.78872
0.10628 139289.26567
0.10714 140021.12833
0.10799 140637.40799
0.10885 140821.75847
0.10971 141356.34209
0.11057 141959.81267
0.11142 142622.63236
0.11228 142789.25050
0.11314 143019.69367
0.11399 143320.76772
0.11485 143635.37795
0.11571 144439.52951
0.11657 144894.20723
0.11742 145583.44167
0.11828 145880.90919
0.11914 146388.88448
0.11999 147051.69444
0.12085 147721.32047
0.12171 147978.21513
0.12257 148019.88388
0.12342 148312.46735
0.12428 148694.75483
0.12514 148915.39835
0.12599 150274.31416
0.12685 150589.19141
0.12771 150777.89388
0.12856 151127.36589
0.12942 151195.35454
0.13028 151633.85095
0.13114 152216.76263
0.13199 152331.66511
0.13285 152478.58179
0.13371 153025.02670
0.13456 153411.17247
0.13542 153669.92152
0.13628 154039.36980
0.13714 154277.43695
0.13799 154735.17196
0.13885 154892.52218
0.13971 155237.85422
0.14056 155417.71655
0.14142 155873.04196
0.14228 156427.05501
0.14314 156706.05386
0.14399 156756.37960
0.14485 156829.39101
0.14571 157602.20523
0.14656 157744.85560
0.14742 157605.23226
0.14828 157698.56828
0.14914 157922.57284
0.14999 158223.90741
0.15085 158416.75779
0.15171 159145.58278
0.15256 159292.79713
0.15342 159396.30134
0.15428 159585.76014
0.15514 159641.69470
0.15599 159978.23370
0.15685 160039.63336
0.15771 160117.67492
0.15856 160244.78448
0.15942 160729.93733
0.16028 160859.29086
0.16113 161435.99027
0.16199 161499.21811
0.16285 161541.00654
0.16371 161526.54130
0.16456 161486.82387
0.16542 161676.00595
0.16628 161844.64148
0.16713 162213.19621
0.16799 162295.79291
0.16885 162721.16711
0.16971 162807.24468
0.17056 162856.98514
0.17142 162914.51346
0.17228 163044.42780
0.17313 163236.19480
0.17399 163247.04182
0.17485 163264.99110
0.17571 163525.92129
0.17656 163708.85194
0.17742 163910.97029
0.17828 163968.74323
0.17913 164011.71266
0.17999 164293.70129
0.18085 164307.73385
0.18171 164316.53602
0.18256 164336.66180
0.18342 164457.22905
0.18428 164601.98920
0.18513 164685.21437
