Points:0,Points:1,Points:2,total_traction:0,total_traction:1,total_traction:2
0.10033,-0.00031711,3.3114,-112870.0,424.62,-369.82
0.099728,-0.010726,3.3162,-112200.0,12246.0,-199.33
0.019056,-0.094593,-0.1744,-33397.0,109580.0,-165.65
0.019459,-0.09445,-0.16408,-34589.0,109160.0,8.7165
0.027796,-0.091199,-0.16839,-48861.0,103580.0,-813.24
0.10093,0.00065219,-1.6206,-115310.0,-850.03,564.49
0.10098,0.00058859,-1.6107,-115310.0,-768.49,707.96
0.10042,0.0098829,-1.6156,-114720.0,-11684.0,625.36
0.072281,-0.0061524,-0.23681,-109910.0,-25610.0,-21096.0
0.073764,-0.0048478,-0.24607,-110110.0,-24902.0,-21010.0
0.074424,-0.014525,-0.24078,-112560.0,-11987.0,-19196.0
0.075903,-0.013333,-0.25017,-112620.0,-11562.0,-19216.0
0.10007,-0.00085075,-1.8804,-115390.0,1257.0,345.59
0.10006,-0.0010597,-1.89,-115390.0,1688.4,-93.736
0.099395,-0.011328,-1.8853,-114650.0,13069.0,114.86
-0.093652,0.042623,0.88921,103370.0,-46836.0,498.95
-0.094971,0.039702,0.90027,104840.0,-43460.0,629.98
-0.097159,0.033861,0.89463,107460.0,-36508.0,593.36
-0.047807,-0.013019,-0.071536,96691.0,-59691.0,-9012.1
-0.048776,-0.015844,-0.062518,99569.0,-54984.0,-6546.4
-0.052707,-0.02338,-0.069791,106540.0,-39808.0,-7528.0
-0.082951,-0.063928,-1.0975,90569.0,71182.0,578.31
-0.076661,-0.071188,-1.1023,83808.0,79032.0,598.72
-0.082744,-0.064117,-1.1075,90381.0,71424.0,629.75
0.099638,-0.0011599,0.47565,-113490.0,1749.7,2211.5
0.099446,-0.0011389,0.46593,-113490.0,1373.5,2110.0
0.0988,-0.0125,0.47104,-112700.0,13508.0,1783.1
-0.0047748,0.10233,-0.622,4544.8,-114980.0,-1596.6
-0.014933,0.10137,-0.61709,15966.0,-113960.0,-1630.1
-0.012607,0.1018,-0.62813,12666.0,-114370.0,-1552.4
-0.010833,-0.097319,0.20174,18129.0,111930.0,1827.1
