Points:0,Points:1,Points:2,total_traction:0,total_traction:1,total_traction:2
-0.0019637,0.10444,-1.1627,889.51,-83642.5,512.6800000000001
-0.10109,0.017128,0.83607,80484.0,-13206.6,320.82
0.10033,-0.00038298,3.3209,-80840.0,697.16,180.4
0.10033,-0.00031711,3.3114,-80848.0,304.19,-258.49
0.099728,-0.010726,3.3162,-80368.0,8771.7,-136.304
0.019056,-0.094593,-0.1744,-24147.0,79225.0,-79.155
0.019459,-0.09445,-0.16408,-25000.5,78895.5,47.65175
0.027796,-0.091199,-0.16839,-35321.0,74872.5,-546.635
0.10093,0.00065219,-1.6206,-83766.5,-617.505,415.985
0.10098,0.00058859,-1.6107,-83764.5,-558.25,520.165
0.10042,0.0098829,-1.6156,-83336.5,-8487.65,460.22
0.072281,-0.0061524,-0.23681,-79609.5,-18554.5,-15253.55
0.073764,-0.0048478,-0.24607,-79767.0,-18043.5,-15196.45
0.074424,-0.014525,-0.24078,-81533.0,-8686.9,-13879.3
0.075903,-0.013333,-0.25017,-81590.0,-8380.35,-13898.0
0.10007,-0.00085075,-1.8804,-83857.0,913.49,258.77
0.10006,-0.0010597,-1.89,-83859.0,1227.015,-60.4165
0.099395,-0.011328,-1.8853,-83322.0,9497.7,91.1195
-0.093652,0.042623,0.88921,74282.5,-33656.5,362.175
-0.094971,0.039702,0.90027,75336.5,-31230.5,456.43
-0.097159,0.033861,0.89463,77219.5,-26234.5,430.08000000000004
-0.047807,-0.013019,-0.071536,69628.5,-42984.0,-6429.6
-0.048776,-0.015844,-0.062518,71671.0,-39577.5,-4656.35
-0.052707,-0.02338,-0.069791,76717.5,-28665.0,-5363.2
-0.082951,-0.063928,-1.0975,65754.0,51679.0,425.15
-0.076661,-0.071188,-1.1023,60846.0,57378.5,439.91
-0.082744,-0.064117,-1.1075,65618.5,51855.0,462.49
0.099638,-0.0011599,0.47565,-81524.0,1257.51,1588.75
0.099446,-0.0011389,0.46593,-81524.0,987.165,1516.135
0.0988,-0.0125,0.47104,-80957.0,9703.8,1281.82
-0.0047748,0.10233,-0.622,3297.65,-83428.5,-1152.31
-0.014933,0.10137,-0.61709,11584.65,-82686.5,-1176.645
-0.012607,0.1018,-0.62813,9190.3,-82987.0,-1120.375
-0.010833,-0.097319,0.20174,13009.35,80325.5,1327.26
0.098342,0.021179,2.9874,-79033.0,-17516.5,-78.2465
0.10017,0.010011,2.9876,-80494.5,-8585.4,-29.5961
0.099109,0.017348,2.9954,-79647.5,-14461.1,140.45499999999998
0.012441,-0.099037,3.9903,-10141.3,79983.5,688.52
0.020427,-0.097708,3.9821,-16308.2,78962.5,-22.39855
0.011287,-0.099196,3.9798,-9208.55,80106.0,-47.6215
0.098253,-0.019373,0.52223,-79901.0,16339.85,666.045
0.098933,-0.016248,0.53136,-80370.5,13827.9,956.7449999999999
0.099802,-0.0090941,0.52155,-81166.0,7925.15,802.285
-0.09588,-0.035874,2.0916,76230.5,28070.0,-84.6845
-0.09644,-0.034341,2.0822,76691.5,26793.0,-373.145
-0.099033,-0.025646,2.0885,78794.0,19755.0,-227.565
-0.033748,0.097717,1.6602,27060.0,-76729.5,-125.37700000000001
-0.044258,0.093331,1.6611,35033.0,-73433.0,-211.97
-0.037883,0.09617,1.6518,30317.0,-75503.0,-294.04
0.0954,-0.0060718,0.38594,-81215.5,1052.325,6940.95
0.094544,-0.0064974,0.37633,-81169.5,776.985,7468.95
0.094357,-0.016113,0.38145,-80698.5,9395.05,6640.0
0.095046,-0.034919,-1.5394,-78542.0,29059.0,549.435
0.097832,-0.026101,-1.5454,-80794.0,22042.5,552.705
0.095046,-0.03473,-1.5494,-78585.5,28956.5,544.265
-0.089016,0.045396,3.5234,71906.0,-36804.5,268.975
-0.088224,0.046902,3.5139,71216.0,-38130.0,-316.195
-0.083285,0.055131,3.5182,67332.5,-44629.5,-58.4335
0.10269,0.0087036,1.6589,-81015.5,-7511.35,31.052500000000002
0.10126,0.018849,1.6551,-79919.0,-15247.0,-160.2615
0.10267,0.0089355,1.6495,-81018.0,-7487.2,-322.42
-0.10046,0.019231,-1.4152,82284.5,-15398.25,676.26
-0.10048,0.019574,-1.4053,82233.5,-15640.6,730.865
-0.1018,0.010069,-1.4098,83308.0,-8193.6,705.565
0.063708,-0.023903,0.16435,-79575.0,-11782.1,12081.85
0.060633,-0.016807,0.15464,-77268.5,-22141.5,12455.45
0.062766,-0.02688,0.15504,-80002.5,-9967.25,10762.15
0.061724,-0.015047,0.16414,-76935.5,-22816.0,13328.85
0.10041,0.024749,1.4143,-78958.5,-19914.5,-206.46499999999997
0.10185,0.018136,1.4232,-80034.5,-15013.05,-146.4435
0.099203,0.0291,1.4223,-78039.0,-23250.0,-95.512
0.078648,-0.021082,-0.26546,-82291.5,2442.45,-12205.05
0.080074,-0.019034,-0.27461,-82259.5,1697.45,-12714.2
0.078779,-0.030003,-0.27232,-81537.5,12567.6,-11090.5
-0.085001,0.052497,3.5268,68570.0,-42697.0,210.505
0.077431,-0.012705,-0.25947,-81702.0,-7598.95,-13851.6
0.075185,-0.0036268,-0.25504,-79937.5,-17559.0,-15002.5
0.096853,0.029701,-0.5657,-79756.0,-24607.5,-1747.0
0.099512,0.018955,-0.56308,-81875.5,-16199.0,-1670.8500000000001
0.09714,0.028157,-0.55642,-80096.5,-23470.5,-1479.7
0.098281,0.018313,3.7312,-79199.5,-15547.95,-24.98305
0.096549,0.025718,3.7389,-77867.0,-21224.5,174.96
0.095472,0.029401,3.731,-77009.5,-24161.5,7.052395000000001
-0.091057,0.047297,0.82737,72356.0,-37648.0,376.28
-0.095678,0.037077,0.83042,76092.0,-29369.5,500.11
-0.094581,0.039677,0.82161,75337.5,-31261.0,191.935
0.10183,0.017486,1.501,-80171.0,-14128.15,-357.305
-0.10336,0.016664,-1.0804,82605.0,-13034.6,303.33500000000004
-0.1017,0.025149,-1.0728,81266.5,-19736.0,268.895
-0.10343,0.016472,-1.07,82632.0,-12866.65,265.1
-0.10152,0.025735,-1.0816,81109.5,-20363.5,365.7
-0.099863,-0.0028512,-1.9738,83880.5,2232.15,-21.0719
0.10276,-0.0090282,1.6083,-81057.0,7218.8,-21.22995
