Points:0,Points:1,Points:2,total_traction:0,total_traction:1,total_traction:2
0.099728,-0.010726,3.3162,-48536.0,5297.4,-73.278
0.019056,-0.094593,-0.1744,-14897.0,48870.0,7.34
0.019459,-0.09445,-0.16408,-15412.0,48631.0,86.587
0.027796,-0.091199,-0.16839,-21781.0,46165.0,-280.03
0.10093,0.00065219,-1.6206,-52223.0,-384.98,267.48
0.10098,0.00058859,-1.6107,-52219.0,-348.01,332.37
0.10042,0.0098829,-1.6156,-51953.0,-5291.3,295.08
0.072281,-0.0061524,-0.23681,-49309.0,-11499.0,-9411.1
0.073764,-0.0048478,-0.24607,-49424.0,-11185.0,-9382.9
0.074424,-0.014525,-0.24078,-50506.0,-5386.8,-8562.6
0.075903,-0.013333,-0.25017,-50560.0,-5198.7,-8580.0
0.10007,-0.00085075,-1.8804,-52324.0,569.98,171.95
0.10006,-0.0010597,-1.89,-52328.0,765.63,-27.097
0.099395,-0.011328,-1.8853,-51994.0,5926.4,67.379
-0.093652,0.042623,0.88921,45195.0,-20477.0,225.4
-0.094971,0.039702,0.90027,45833.0,-19001.0,282.88
-0.097159,0.033861,0.89463,46979.0,-15961.0,266.8
-0.047807,-0.013019,-0.071536,42566.0,-26277.0,-3847.1
-0.048776,-0.015844,-0.062518,43773.0,-24171.0,-2766.3
-0.052707,-0.02338,-0.069791,46895.0,-17522.0,-3198.4
-0.082951,-0.063928,-1.0975,40939.0,32176.0,271.99
-0.076661,-0.071188,-1.1023,37884.0,35725.0,281.1
-0.082744,-0.064117,-1.1075,40856.0,32286.0,295.23
0.099638,-0.0011599,0.47565,-49558.0,765.32,966.0
0.099446,-0.0011389,0.46593,-49558.0,600.83,922.27
0.0988,-0.0125,0.47104,-49214.0,5899.6,780.54
-0.0047748,0.10233,-0.622,2050.5,-51877.0,-708.02
-0.014933,0.10137,-0.61709,7203.3,-51413.0,-723.19
-0.012607,0.1018,-0.62813,5714.6,-51604.0,-688.35
-0.010833,-0.097319,0.20174,7889.7,48721.0,827.42
0.098342,0.021179,2.9874,-47786.0,-10591.0,-38.223
0.10017,0.010011,2.9876,-48669.0,-5190.8,-8.9762
0.099109,0.017348,2.9954,-48155.0,-8743.2,93.84
0.012441,-0.099037,3.9903,-6109.6,48187.0,424.08
0.020427,-0.097708,3.9821,-9825.4,47575.0,-4.4841
0.011287,-0.099196,3.9798,-5548.1,48262.0,-19.647
0.098253,-0.019373,0.52223,-48582.0,9935.7,407.07
0.098933,-0.016248,0.53136,-48871.0,8408.8,583.89
0.099802,-0.0090941,0.52155,-49352.0,4819.3,489.27
-0.09588,-0.035874,2.0916,46231.0,17024.0,-42.859
-0.09644,-0.034341,2.0822,46513.0,16250.0,-217.9
-0.099033,-0.025646,2.0885,47788.0,11981.0,-129.48
-0.033748,0.097717,1.6602,16434.0,-46599.0,-67.924
-0.044258,0.093331,1.6611,21276.0,-44596.0,-120.58
-0.037883,0.09617,1.6518,18412.0,-45856.0,-170.4
0.0954,-0.0060718,0.38594,-49351.0,639.85,4217.6
0.094544,-0.0064974,0.37633,-49319.0,472.27,4538.9
0.094357,-0.016113,0.38145,-49037.0,5709.1,4035.9
0.095046,-0.034919,-1.5394,-48954.0,18112.0,350.53
